dataset,baseline,strata,alpha,scoring,human_cost,realized_error,repair_f1,err_hi,covered,on_pareto_front,backend
beers_ni_inner50,CARE,marginal,0.05,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_beers_ni_inner50_mapped.csv
beers_ni_inner50,CARE,mondrian,0.05,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_beers_ni_inner50_mapped.csv
beers_ni_inner50,LLMOnly,-,0.05,errors,0.0,0.8057471264367816,0.1942528735632184,0.8091349062310951,False,True,baran:csvs/baran_beers_ni_inner50_mapped.csv
beers_ni_inner50,NoOp,-,0.05,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_beers_ni_inner50_mapped.csv
beers_ni_inner50,CARE,marginal,0.1,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_beers_ni_inner50_mapped.csv
beers_ni_inner50,CARE,mondrian,0.1,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_beers_ni_inner50_mapped.csv
beers_ni_inner50,LLMOnly,-,0.1,errors,0.0,0.8057471264367816,0.1942528735632184,0.8091349062310951,False,True,baran:csvs/baran_beers_ni_inner50_mapped.csv
beers_ni_inner50,NoOp,-,0.1,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_beers_ni_inner50_mapped.csv
beers_ni_inner50,CARE,marginal,0.2,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_beers_ni_inner50_mapped.csv
beers_ni_inner50,CARE,mondrian,0.2,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_beers_ni_inner50_mapped.csv
beers_ni_inner50,LLMOnly,-,0.2,errors,0.0,0.8057471264367816,0.1942528735632184,0.8091349062310951,False,True,baran:csvs/baran_beers_ni_inner50_mapped.csv
beers_ni_inner50,NoOp,-,0.2,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_beers_ni_inner50_mapped.csv
