dataset,baseline,strata,alpha,scoring,human_cost,realized_error,repair_f1,err_hi,covered,on_pareto_front,backend
hospital_ni_inner30,CARE,marginal,0.05,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/hospital_ni_inner30/3/baran_hospital_ni_inner30_mapped.csv
hospital_ni_inner30,CARE,mondrian,0.05,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/hospital_ni_inner30/3/baran_hospital_ni_inner30_mapped.csv
hospital_ni_inner30,LLMOnly,-,0.05,errors,0.0,0.5584457636265515,0.4415542363734485,0.5622234214786832,False,True,baran:csvs/baran_var_ni/hospital_ni_inner30/3/baran_hospital_ni_inner30_mapped.csv
hospital_ni_inner30,NoOp,-,0.05,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/hospital_ni_inner30/3/baran_hospital_ni_inner30_mapped.csv
hospital_ni_inner30,CARE,marginal,0.1,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/hospital_ni_inner30/3/baran_hospital_ni_inner30_mapped.csv
hospital_ni_inner30,CARE,mondrian,0.1,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/hospital_ni_inner30/3/baran_hospital_ni_inner30_mapped.csv
hospital_ni_inner30,LLMOnly,-,0.1,errors,0.0,0.5584457636265515,0.4415542363734485,0.5622234214786832,False,True,baran:csvs/baran_var_ni/hospital_ni_inner30/3/baran_hospital_ni_inner30_mapped.csv
hospital_ni_inner30,NoOp,-,0.1,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/hospital_ni_inner30/3/baran_hospital_ni_inner30_mapped.csv
hospital_ni_inner30,CARE,marginal,0.2,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/hospital_ni_inner30/3/baran_hospital_ni_inner30_mapped.csv
hospital_ni_inner30,CARE,mondrian,0.2,errors,0.9977407208176439,0.011904761904761908,0.0038926880589163597,0.03571428571428572,True,True,baran:csvs/baran_var_ni/hospital_ni_inner30/3/baran_hospital_ni_inner30_mapped.csv
hospital_ni_inner30,LLMOnly,-,0.2,errors,0.0,0.5584457636265515,0.4415542363734485,0.5622234214786832,False,True,baran:csvs/baran_var_ni/hospital_ni_inner30/3/baran_hospital_ni_inner30_mapped.csv
hospital_ni_inner30,NoOp,-,0.2,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_ni/hospital_ni_inner30/3/baran_hospital_ni_inner30_mapped.csv
